,Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides C1,Peptides C2,Peptides C3,Peptides E1_24,Peptides E1_48,Peptides E2_24,Peptides E2_48,Peptides E3_24,Peptides E3_48,Razor + unique peptides C1,Razor + unique peptides C2,Razor + unique peptides C3,Razor + unique peptides E1_24,Razor + unique peptides E1_48,Razor + unique peptides E2_24,Razor + unique peptides E2_48,Razor + unique peptides E3_24,Razor + unique peptides E3_48,Unique peptides C1,Unique peptides C2,Unique peptides C3,Unique peptides E1_24,Unique peptides E1_48,Unique peptides E2_24,Unique peptides E2_48,Unique peptides E3_24,Unique peptides E3_48,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Sequence coverage C1 [%],Sequence coverage C2 [%],Sequence coverage C3 [%],Sequence coverage E1_24 [%],Sequence coverage E1_48 [%],Sequence coverage E2_24 [%],Sequence coverage E2_48 [%],Sequence coverage E3_24 [%],Sequence coverage E3_48 [%],Intensity,Intensity C1,Intensity C2,Intensity C3,Intensity E1_24,Intensity E1_48,Intensity E2_24,Intensity E2_48,Intensity E3_24,Intensity E3_48,iBAQ peptides,iBAQ,iBAQ C1,iBAQ C2,iBAQ C3,iBAQ E1_24,iBAQ E1_48,iBAQ E2_24,iBAQ E2_48,iBAQ E3_24,iBAQ E3_48,LFQ intensity C1,LFQ intensity C2,LFQ intensity C3,LFQ intensity E1_24,LFQ intensity E1_48,LFQ intensity E2_24,LFQ intensity E2_48,LFQ intensity E3_24,LFQ intensity E3_48,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count E1_24,MS/MS count E1_48,MS/MS count E2_24,MS/MS count E2_48,MS/MS count E3_24,MS/MS count E3_48,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Deamidation (NQ) site IDs,Dioxidation (MW) site IDs,Oxidation (M) site IDs,Deamidation (NQ) site positions,Dioxidation (MW) site positions,Oxidation (M) site positions,Taxonomy IDs,unique_int,Gene_id,desc,E1_24,E2_24,E3_24,E1_48,E2_48,E3_48,mean,exp_rank
1624,tr|A2ATI9|A2ATI9_MOUSE;sp|Q99JX3|GORS2_MOUSE;tr|A2ATI8|A2ATI8_MOUSE;tr|A2ATI6|A2ATI6_MOUSE,tr|A2ATI9|A2ATI9_MOUSE;sp|Q99JX3|GORS2_MOUSE,3;3;1;1,3;3;1;1,3;3;1;1,tr|A2ATI9|A2ATI9_MOUSE Golgi reassembly-stacking protein 2 OS=Mus musculus OX=10090 GN=Gorasp2 PE=1 SV=1;sp|Q99JX3|GORS2_MOUSE Golgi reassembly-stacking protein 2 OS=Mus musculus OX=10090 GN=Gorasp2 PE=1 SV=3,4,3,3,3,0,0,0,2,1,2,1,0,0,0,0,0,2,1,2,1,0,0,0,0,0,2,1,2,1,0,0,8.6,8.6,8.6,45.026,431,431;451;317;351,0.0,10.432,0.0,0.0,0.0,5.6,3.7,6.7,3.7,0.0,0.0,27252000,0,0,0,3953100,5719500,11958000,5621000,0,0,13,2096300.0,0.0,0.0,0.0,304080.0,439960.0,919870.0,432380.0,0.0,0.0,0,0,0,0,0,4483500,0,0,0,0,0,0,2,1,2,1,0,0,6,,,,1624,144;7863;13987,True;True;True,149;8520;15563,603;604;605;606;43193;78425,657;658;659;660;48027;87657,658;48027;87657,,,,,,,-1;-1;-1;-1,3,tr|A2ATI9|A2ATI9_MOUSE,tr|A2ATI9|A2ATI9_MOUSE Golgi reassembly-stacking protein 2,304080.0,919870.0,0.0,439960.0,432380.0,0.0,524072.5,37.0
2030,sp|Q9WUM3|COR1B_MOUSE;tr|A0A494B9Y4|A0A494B9Y4_MOUSE;tr|D3YUG6|D3YUG6_MOUSE,sp|Q9WUM3|COR1B_MOUSE;tr|A0A494B9Y4|A0A494B9Y4_MOUSE,5;3;1,5;3;1,5;3;1,sp|Q9WUM3|COR1B_MOUSE Coronin-1B OS=Mus musculus OX=10090 GN=Coro1b PE=1 SV=1;tr|A0A494B9Y4|A0A494B9Y4_MOUSE Coronin (Fragment) OS=Mus musculus OX=10090 GN=Coro1b PE=1 SV=1,3,5,5,5,0,0,0,0,2,3,5,1,0,0,0,0,0,2,3,5,1,0,0,0,0,0,2,3,5,1,0,14.0,14.0,14.0,53.912,484,484;251;173,0.0,5.9627,0.0,0.0,0.0,0.0,3.9,10.1,14.0,1.7,0.0,37256000,0,0,0,0,2249900,10892000,22640000,1475100,0,18,2069800.0,0.0,0.0,0.0,0.0,124990.0,605080.0,1257800.0,81950.0,0.0,0,0,0,0,3426100,4346700,7005800,0,0,0,0,0,0,2,3,5,1,0,11,,,,2030,496;7066;11182;13403;13444,True;True;True;True;True,534;7667;12498;14922;14965,2594;2595;38975;38976;62591;62592;75226;75227;75228;75467;75468,2990;2991;43226;43227;70186;70187;84276;84277;84278;84537;84538,2991;43227;70187;84277;84538,,,,,,,-1;-1;-1,5,sp|Q9WUM3|COR1B_MOUSE,Coronin-1B,0.0,605080.0,81950.0,124990.0,1257800.0,0.0,517455.0,38.0
244,sp|O88952|LIN7C_MOUSE;sp|Q8JZS0|LIN7A_MOUSE;tr|Q3TUM0|Q3TUM0_MOUSE;sp|O88951|LIN7B_MOUSE,sp|O88952|LIN7C_MOUSE;sp|Q8JZS0|LIN7A_MOUSE;tr|Q3TUM0|Q3TUM0_MOUSE;sp|O88951|LIN7B_MOUSE,2;2;1;1,2;2;1;1,2;2;1;1,sp|O88952|LIN7C_MOUSE Protein lin-7 homolog C OS=Mus musculus OX=10090 GN=Lin7c PE=1 SV=2;sp|Q8JZS0|LIN7A_MOUSE Protein lin-7 homolog A OS=Mus musculus OX=10090 GN=Lin7a PE=1 SV=2;tr|Q3TUM0|Q3TUM0_MOUSE Protein lin-7 homolog A OS=Mus musculus OX=10090 GN=L,4,2,2,2,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,13.2,13.2,13.2,21.834,197,197;233;111;207,0.0,3.9363,0.0,0.0,0.0,8.1,8.1,8.1,5.1,0.0,0.0,22403000,0,0,0,1047300,2546600,13099000,5710200,0,0,11,2036700.0,0.0,0.0,0.0,95210.0,231500.0,1190800.0,519110.0,0.0,0.0,0,0,0,0,0,4911200,0,0,0,0,0,0,1,1,3,1,0,0,6,,,,244,1151;2755,True;True,1250;2961,6066;6067;6068;6069;14234,6784;6785;6786;6787;6788;15643,6785;15643,,,,,,,-1;-1;-1;-1,2,sp|O88952|LIN7C_MOUSE,Protein lin-7 homolog C,95210.0,1190800.0,0.0,231500.0,519110.0,0.0,509155.0,39.0
867,tr|Q5SS83|Q5SS83_MOUSE;sp|Q60634|FLOT2_MOUSE,tr|Q5SS83|Q5SS83_MOUSE;sp|Q60634|FLOT2_MOUSE,6;6,6;6,6;6,tr|Q5SS83|Q5SS83_MOUSE Flotillin OS=Mus musculus OX=10090 GN=Flot2 PE=1 SV=1;sp|Q60634|FLOT2_MOUSE Flotillin-2 OS=Mus musculus OX=10090 GN=Flot2 PE=1 SV=2,2,6,6,6,0,0,0,3,5,5,4,1,0,0,0,0,3,5,5,4,1,0,0,0,0,3,5,5,4,1,0,19.9,19.9,19.9,47.11600000000001,428,428;428,0.0,13.129000000000001,0.0,0.0,0.0,9.8,16.6,16.4,13.1,4.4,0.0,66308000,0,0,0,5704700,14947000,22017000,21092000,2547400,0,27,2455900.0,0.0,0.0,0.0,211290.0,553590.0,815460.0,781180.0,94350.0,0.0,0,0,0,5874000,11019000,8772000,7837500,0,0,0,0,0,3,6,5,4,1,0,19,,,,867,7572;8687;9691;10450;11328;12186,True;True;True;True;True;True,8212;9419;10685;11679;12664;13593,41755;41756;41757;41758;41759;47853;54591;54592;54593;54594;58930;58931;58932;58933;63414;68308;68309;68310,46377;46378;46379;46380;46381;46382;53246;61552;61553;61554;61555;66196;66197;66198;66199;71112;76426;76427;76428,46382;53246;61554;66198;71112;76426,,,,,,,-1;-1,6,tr|Q5SS83|Q5SS83_MOUSE,tr|Q5SS83|Q5SS83_MOUSE Flotillin,211290.0,815460.0,94350.0,553590.0,781180.0,0.0,491174.0,40.0
742,tr|E9Q3N1|E9Q3N1_MOUSE;sp|Q09143|SL7A1_MOUSE,tr|E9Q3N1|E9Q3N1_MOUSE;sp|Q09143|SL7A1_MOUSE,2;2,2;2,2;2,tr|E9Q3N1|E9Q3N1_MOUSE High affinity cationic amino acid transporter 1 (Fragment) OS=Mus musculus OX=10090 GN=Slc7a1 PE=1 SV=8;sp|Q09143|SL7A1_MOUSE High affinity cationic amino acid transporter 1 OS=Mus musculus OX=10090 GN=Slc7a1 PE=1 SV=1,2,2,2,2,0,0,0,2,2,2,1,1,0,0,0,0,2,2,2,1,1,0,0,0,0,2,2,2,1,1,0,8.9,8.9,8.9,58.038000000000004,542,542;622,0.0,5.7536,0.0,0.0,0.0,8.9,8.9,8.9,3.5,5.4,0.0,41199000,0,0,0,5377700,9370700,16386000,3611500,6453200,0,18,2288900.0,0.0,0.0,0.0,298760.0,520590.0,910350.0,200640.0,358510.0,0.0,0,0,0,5437700,7204600,5864200,0,0,0,0,0,0,3,4,2,2,1,0,12,,,,742,1292;12922,True;True,1400;14397,6853;6854;6855;6856;72340;72341;72342;72343,7652;7653;7654;7655;7656;7657;81083;81084;81085;81086;81087;81088,7655;81087,,,,,,,-1;-1,2,tr|E9Q3N1|E9Q3N1_MOUSE,tr|E9Q3N1|E9Q3N1_MOUSE High affinity cationic amino acid transporter 1 (Fragment),298760.0,910350.0,358510.0,520590.0,200640.0,0.0,457770.0,41.0
2121,tr|Q5UE59|Q5UE59_MOUSE;tr|E9Q7C9|E9Q7C9_MOUSE;tr|Q7TNF4|Q7TNF4_MOUSE;tr|Q8CD76|Q8CD76_MOUSE;tr|A0A5F8MPZ2|A0A5F8MPZ2_MOUSE;sp|O88447|KLC1_MOUSE;tr|F6UYN4|F6UYN4_MOUSE,tr|Q5UE59|Q5UE59_MOUSE;tr|E9Q7C9|E9Q7C9_MOUSE;tr|Q7TNF4|Q7TNF4_MOUSE;tr|Q8CD76|Q8CD76_MOUSE;tr|A0A5F8MPZ2|A0A5F8MPZ2_MOUSE;sp|O88447|KLC1_MOUSE,8;8;8;8;8;7;3,8;8;8;8;8;7;3,6;6;6;6;6;6;3,tr|Q5UE59|Q5UE59_MOUSE Kinesin light chain OS=Mus musculus OX=10090 GN=Klc1 PE=1 SV=1;tr|E9Q7C9|E9Q7C9_MOUSE Kinesin light chain OS=Mus musculus OX=10090 GN=Klc1 PE=1 SV=1;tr|Q7TNF4|Q7TNF4_MOUSE Kinesin light chain OS=Mus musculus OX=10090 GN=Klc1 PE=1 SV=,7,8,8,6,0,0,0,2,1,3,6,0,0,0,0,0,2,1,3,6,0,0,0,0,0,2,0,2,4,0,0,18.3,18.3,13.1,61.629,542,542;560;608;616;637;541;172,0.0,39.475,0.0,0.0,0.0,4.1,3.3,7.7,14.4,0.0,0.0,51045000,0,0,0,867460,2469500,18414000,29294000,0,0,35,1458400.0,0.0,0.0,0.0,24784.0,70557.0,526120.0,836960.0,0.0,0.0,0,0,0,0,0,8357100,10215000,0,0,0,0,0,1,1,3,5,0,0,10,,,,2121,1540;3082;6227;6371;7298;11099;13112;13258,True;True;True;True;True;True;True;True,1671;3317;6758;6907;7913;12409;14601;14759,8388;8389;8390;16068;34278;34279;34961;40145;62189;62190;73459;74308,9341;9342;9343;17770;38235;38236;38971;44543;69758;69759;82311;83223,9343;17770;38235;38971;44543;69759;82311;83223,,,,,,,-1;-1;-1;-1;-1;-1;-1,6,tr|Q5UE59|Q5UE59_MOUSE,none,24784.0,526120.0,0.0,70557.0,836960.0,0.0,364605.25,42.0
1602,sp|Q922Q8|LRC59_MOUSE,sp|Q922Q8|LRC59_MOUSE,2,2,2,sp|Q922Q8|LRC59_MOUSE Leucine-rich repeat-containing protein 59 OS=Mus musculus OX=10090 GN=Lrrc59 PE=1 SV=1,1,2,2,2,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,7.2,7.2,7.2,34.876999999999995,307,307,0.0011351,2.8926,0.0,0.0,0.0,3.3,3.3,3.3,3.9,0.0,0.0,19887000,0,0,0,4756700,4416600,5170400,5543600,0,0,14,1420500.0,0.0,0.0,0.0,339760.0,315470.0,369310.0,395970.0,0.0,0.0,0,0,0,0,0,1938500,0,0,0,0,0,0,1,1,1,1,0,0,4,,,,1602,8138;8585,True;True,8821;9304,44644;44645;44646;47299,49611;49612;49613;52580,49611;52580,,,,,,,-1,2,sp|Q922Q8|LRC59_MOUSE,Leucine-rich repeat-containing protein 59,339760.0,369310.0,0.0,315470.0,395970.0,0.0,355127.5,43.0
2051,sp|Q9Z0P4|PALM_MOUSE;tr|Q3UZP7|Q3UZP7_MOUSE;tr|A0A1W2P831|A0A1W2P831_MOUSE;tr|A0A1W2P879|A0A1W2P879_MOUSE,sp|Q9Z0P4|PALM_MOUSE;tr|Q3UZP7|Q3UZP7_MOUSE,6;4;2;1,6;4;2;1,6;4;2;1,sp|Q9Z0P4|PALM_MOUSE Paralemmin-1 OS=Mus musculus OX=10090 GN=Palm PE=1 SV=1;tr|Q3UZP7|Q3UZP7_MOUSE Paralemmin-1 OS=Mus musculus OX=10090 GN=Palm PE=1 SV=1,4,6,6,6,0,0,0,2,4,2,4,0,0,0,0,0,2,4,2,4,0,0,0,0,0,2,4,2,4,0,0,19.6,19.6,19.6,41.614,383,383;176;205;151,0.0,50.091,0.0,0.0,0.0,7.6,17.5,4.7,12.8,0.0,0.0,31075000,0,0,0,3175700,9228300,7737800,10933000,0,0,22,1412500.0,0.0,0.0,0.0,144350.0,419470.0,351720.0,496950.0,0.0,0.0,0,0,0,4158200,5424200,0,4827200,0,0,0,0,0,2,4,2,5,0,0,13,,,,2051,155;2684;2685;4129;11117;13807,True;True;True;True;True;True,160;2886;2887;4440;12427;15363,663;664;665;14012;14013;14014;21766;21767;62287;77540;77541;77542,717;718;719;720;15404;15405;15406;24004;24005;69864;86738;86739;86740,719;15404;15405;24005;69864;86738,,,,,,,-1;-1;-1;-1,6,sp|Q9Z0P4|PALM_MOUSE,Paralemmin-1,144350.0,351720.0,0.0,419470.0,496950.0,0.0,353122.5,44.0
126,sp|G5E829|AT2B1_MOUSE;tr|A0A1W2P7C7|A0A1W2P7C7_MOUSE;tr|A0A1W2P7R3|A0A1W2P7R3_MOUSE;tr|F7AAP4|F7AAP4_MOUSE;tr|E9Q828|E9Q828_MOUSE;sp|Q6Q477|AT2B4_MOUSE;tr|A0A1W2P867|A0A1W2P867_MOUSE;tr|A0A1W2P772|A0A1W2P772_MOUSE;tr|Q3UHH0|Q3UHH0_MOUSE;sp|Q9R0K7|AT2B2_MOUSE;tr|F8WHB1|F8WHB1_MOUSE;tr|A0A1W2P882|A0A1W2P882_MOUSE;tr|Q8C048|Q8C048_MOUSE;tr|S4R1C4|S4R1C4_MOUSE;tr|A2ALL9|A2ALL9_MOUSE;tr|Q0VF55|Q0VF55_MOUSE,sp|G5E829|AT2B1_MOUSE;tr|A0A1W2P7C7|A0A1W2P7C7_MOUSE,12;7;3;3;3;3;2;2;2;2;2;1;1;1;1;1,12;7;3;3;3;3;2;2;2;2;2;1;1;1;1;1,11;7;3;3;3;3;2;1;2;2;2;0;1;1;1;1,sp|G5E829|AT2B1_MOUSE Plasma membrane calcium-transporting ATPase 1 OS=Mus musculus OX=10090 GN=Atp2b1 PE=1 SV=1;tr|A0A1W2P7C7|A0A1W2P7C7_MOUSE Plasma membrane calcium-transporting ATPase 1 (Fragment) OS=Mus musculus OX=10090 GN=Atp2b1 PE=1 SV=1,16,12,12,11,0,0,0,7,6,4,7,2,0,0,0,0,7,6,4,7,2,0,0,0,0,7,5,4,7,2,0,13.4,13.4,11.1,134.75,1220,1220;430;212;1166;1172;1205;175;317;1194;1198;1243;279;1144;1154;1173;1220,0.0,20.732,0.0,0.0,0.0,8.9,8.9,5.3,8.3,2.1,0.0,88017000,0,0,0,11229000,21039000,19430000,32306000,4012300,0,50,1760300.0,0.0,0.0,0.0,224590.0,420770.0,388600.0,646130.0,80246.0,0.0,0,0,0,7404400,11615000,10188000,14321000,6068300,0,0,0,0,7,8,4,9,2,0,30,,,,126,2085;2121;3952;4040;5184;5185;7557;9100;11885;12883;13006;14660,True;True;True;True;True;True;True;True;True;True;True;True,2249;2286;4254;4348;5600;5601;8197;9992;13263;14356;14487;16287,11022;11161;20667;20668;20669;20670;20671;21309;21310;27889;27890;27891;27892;41697;50591;50592;50593;50594;66297;72185;72897;72898;72899;82465;82466;82467;82468,12169;12314;22827;22828;22829;22830;22831;23521;23522;30777;30778;30779;30780;46318;56271;56272;56273;56274;74148;80915;81706;81707;81708;92735;92736;92737;92738;92739;92740;92741,12169;12314;22829;23522;30777;30780;46318;56274;74148;80915;81707;92738,,,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,11,sp|G5E829|AT2B1_MOUSE,Plasma membrane calcium-transporting ATPase 1,224590.0,388600.0,80246.0,420770.0,646130.0,0.0,352067.2,45.0
1675,tr|A2AVJ7|A2AVJ7_MOUSE;sp|Q99PL5|RRBP1_MOUSE,tr|A2AVJ7|A2AVJ7_MOUSE;sp|Q99PL5|RRBP1_MOUSE,23;23,23;23,23;23,tr|A2AVJ7|A2AVJ7_MOUSE Ribosome-binding protein 1 OS=Mus musculus OX=10090 GN=Rrbp1 PE=1 SV=1;sp|Q99PL5|RRBP1_MOUSE Ribosome-binding protein 1 OS=Mus musculus OX=10090 GN=Rrbp1 PE=1 SV=2,2,23,23,23,0,0,0,18,15,7,4,4,0,0,0,0,18,15,7,4,4,0,0,0,0,18,15,7,4,4,0,20.2,20.2,20.2,158.39,1464,1464;1605,0.0,56.992,0.0,0.0,0.0,15.5,12.1,5.3,5.7,4.1,0.0,177670000,0,0,0,81444000,54022000,20739000,13608000,7857800,0,103,1725000.0,0.0,0.0,0.0,790720.0,524490.0,201350.0,132120.0,76289.0,0.0,0,0,0,86563000,36797000,8267100,3409000,4832500,0,0,0,0,21,17,7,4,3,0,52,,,,1675,45;757;1033;1034;1364;2362;3742;4858;6589;7421;7528;7585;8130;8155;8381;10145;10452;11305;11314;12311;12469;13411;14079,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,46;819;1121;1122;1123;1481;2545;4034;5235;7141;8049;8166;8225;8813;8840;9083;11271;11272;11681;12641;12650;13734;13908;14930;15661,177;4016;4017;5507;5508;5509;5510;5511;5512;5513;7380;7381;12362;12363;12364;12365;19674;25786;36136;36137;40941;40942;41536;41537;41538;41815;41816;44617;44618;44619;44716;46086;46087;46088;46089;46090;57294;57295;58938;58939;58940;63318;63351;63352;63353;63354;69033;69868;69869;69870;69871;75272;75273;78867,205;4599;4600;6190;6191;6192;6193;6194;6195;6196;8243;8244;13648;13649;13650;13651;21783;28389;40203;40204;45506;45507;46150;46151;46152;46438;46439;49584;49585;49586;49687;51305;51306;51307;51308;51309;64432;64433;66204;66205;66206;71013;71047;71048;71049;71050;71051;77261;78209;78210;78211;78212;84335;84336;88125;88126,205;4599;6195;6196;8244;13648;21783;28389;40204;45507;46150;46438;49584;49687;51305;64432;66204;71013;71050;77261;78211;84335;88125,,,638,,,674,-1;-1,23,tr|A2AVJ7|A2AVJ7_MOUSE,tr|A2AVJ7|A2AVJ7_MOUSE Ribosome-binding protein 1,790720.0,201350.0,76289.0,524490.0,132120.0,0.0,344993.8,46.0
1429,sp|Q8K2P7|S38A1_MOUSE,sp|Q8K2P7|S38A1_MOUSE,3,3,3,sp|Q8K2P7|S38A1_MOUSE Sodium-coupled neutral amino acid transporter 1 OS=Mus musculus OX=10090 GN=Slc38a1 PE=1 SV=1,1,3,3,3,0,0,0,0,3,2,2,1,0,0,0,0,0,3,2,2,1,0,0,0,0,0,3,2,2,1,0,5.6,5.6,5.6,53.795,485,485,0.0,4.0709,0.0,0.0,0.0,0.0,5.6,3.9,3.9,2.3,0.0,23726000,0,0,0,0,7897500,9663300,4628700,1536700,0,19,1248700.0,0.0,0.0,0.0,0.0,415660.0,508590.0,243610.0,80878.0,0.0,0,0,0,0,5341400,4168600,0,0,0,0,0,0,0,3,2,2,1,0,8,,,,1429,7247;9207;11873,True;True;True,7861;10120;13251,39871;39872;39873;39874;51661;66222;66223;66224,44231;44232;44233;44234;58298;74073;74074;74075,44234;58298;74074,,,,,,,-1,3,sp|Q8K2P7|S38A1_MOUSE,Sodium-coupled neutral amino acid transporter 1,0.0,508590.0,80878.0,415660.0,243610.0,0.0,312184.5,47.0
1148,sp|Q80WJ7|LYRIC_MOUSE;tr|F6ZSG0|F6ZSG0_MOUSE;tr|F6QHD1|F6QHD1_MOUSE;tr|E9PUX0|E9PUX0_MOUSE;tr|F6QFT1|F6QFT1_MOUSE,sp|Q80WJ7|LYRIC_MOUSE;tr|F6ZSG0|F6ZSG0_MOUSE;tr|F6QHD1|F6QHD1_MOUSE,8;4;4;2;2,8;4;4;2;2,8;4;4;2;2,sp|Q80WJ7|LYRIC_MOUSE Protein LYRIC OS=Mus musculus OX=10090 GN=Mtdh PE=1 SV=1;tr|F6ZSG0|F6ZSG0_MOUSE Protein LYRIC (Fragment) OS=Mus musculus OX=10090 GN=Mtdh PE=1 SV=1;tr|F6QHD1|F6QHD1_MOUSE Protein LYRIC (Fragment) OS=Mus musculus OX=10090 GN=Mtdh PE=1 ,5,8,8,8,0,0,0,3,4,4,2,1,0,0,0,0,3,4,4,2,1,0,0,0,0,3,4,4,2,1,0,21.2,21.2,21.2,63.845,579,579;356;393;164;382,0.0,13.277999999999999,0.0,0.0,0.0,7.6,11.1,11.7,6.0,2.6,0.0,36438000,0,0,0,3485300,6850500,20230000,4193500,1677900,0,24,1518200.0,0.0,0.0,0.0,145220.0,285440.0,842930.0,174730.0,69910.0,0.0,0,0,0,0,4201400,6101600,4058700,0,0,0,0,0,2,4,5,2,1,0,14,,,,1148,3746;4729;6609;6632;9350;11119;12326;12665,True;True;True;True;True;True;True;True,4038;5091;7161;7185;10291;12429;13751;14119,19687;25029;36225;36226;36340;36341;36342;52530;52531;52532;52533;62297;69144;71091,21796;27533;40300;40301;40302;40422;40423;40424;59260;59261;59262;59263;69874;77394;79741,21796;27533;40302;40424;59260;69874;77394;79741,,,,,,,-1;-1;-1;-1;-1,8,sp|Q80WJ7|LYRIC_MOUSE,Protein LYRIC,145220.0,842930.0,69910.0,285440.0,174730.0,0.0,303646.0,48.0
1392,sp|Q8JZQ9|EIF3B_MOUSE;tr|A0A0G2JG48|A0A0G2JG48_MOUSE,sp|Q8JZQ9|EIF3B_MOUSE,8;1,8;1,8;1,sp|Q8JZQ9|EIF3B_MOUSE Eukaryotic translation initiation factor 3 subunit B OS=Mus musculus OX=10090 GN=Eif3b PE=1 SV=1,2,8,8,8,0,0,0,7,1,5,0,1,0,0,0,0,7,1,5,0,1,0,0,0,0,7,1,5,0,1,0,16.1,16.1,16.1,91.369,803,803;175,0.0,19.896,0.0,0.0,0.0,14.8,3.2,11.2,0.0,3.2,0.0,43250000,0,0,0,12980000,2340100,24665000,0,3265700,0,37,1168900.0,0.0,0.0,0.0,350800.0,63247.0,666620.0,0.0,88262.0,0.0,0,0,0,11719000,0,10509000,0,0,0,0,0,0,8,1,5,0,1,0,15,,,,1392,553;3048;4000;4535;4670;9814;12864;14211,True;True;True;True;True;True;True;True,597;3280;4303;4882;5026;10813;14337;15808,2946;2947;2948;2949;15859;20984;20985;23988;23989;24698;24699;55140;72115;79610,3401;3402;3403;3404;17474;23166;23167;26394;26395;26396;27164;27165;62132;80839;88927,3404;17474;23167;26394;27165;62132;80839;88927,,,,,,,-1;-1,8,sp|Q8JZQ9|EIF3B_MOUSE,Eukaryotic translation initiation factor 3 subunit B,350800.0,666620.0,88262.0,63247.0,0.0,0.0,292232.25,49.0
645,sp|P70280|VAMP7_MOUSE,sp|P70280|VAMP7_MOUSE,3,3,3,sp|P70280|VAMP7_MOUSE Vesicle-associated membrane protein 7 OS=Mus musculus OX=10090 GN=Vamp7 PE=1 SV=1,1,3,3,3,0,0,0,1,2,1,2,2,0,0,0,0,1,2,1,2,2,0,0,0,0,1,2,1,2,2,0,13.2,13.2,13.2,24.967,220,220,0.0,9.3839,0.0,0.0,0.0,4.1,7.7,4.1,9.5,9.5,0.0,18651000,0,0,0,1833200,3936000,4248200,6601800,2031800,0,13,1434700.0,0.0,0.0,0.0,141020.0,302770.0,326790.0,507830.0,156290.0,0.0,0,0,0,0,0,0,2629600,0,0,0,0,0,1,2,1,2,2,0,8,,,,645,347;3435;13845,True;True;True,369;3701;15403,1638;1639;1640;1641;1642;17915;77682;77683,1790;1791;1792;1793;1794;19788;86885;86886,1790;19788;86885,,,,,,,-1,3,sp|P70280|VAMP7_MOUSE,Vesicle-associated membrane protein 7,141020.0,326790.0,156290.0,302770.0,507830.0,0.0,286940.0,50.0
2130,tr|A2ATL1|A2ATL1_MOUSE;tr|A2ATL0|A2ATL0_MOUSE;tr|A2ATK9|A2ATK9_MOUSE,tr|A2ATL1|A2ATL1_MOUSE;tr|A2ATL0|A2ATL0_MOUSE;tr|A2ATK9|A2ATK9_MOUSE,2;2;2,2;2;2,2;2;2,"tr|A2ATL1|A2ATL1_MOUSE Family with sequence similarity 171, member A1 OS=Mus musculus OX=10090 GN=Fam171a1 PE=1 SV=1;tr|A2ATL0|A2ATL0_MOUSE Family with sequence similarity 171, member A1 OS=Mus musculus OX=10090 GN=Fam171a1 PE=1 SV=1;tr|A2ATK9|A2ATK9_MOUSE",3,2,2,2,0,0,0,1,2,2,0,1,0,0,0,0,1,2,2,0,1,0,0,0,0,1,2,2,0,1,0,8.5,8.5,8.5,84.79299999999999,767,767;887;892,0.0,3.6665,0.0,0.0,0.0,3.1,8.5,8.5,0.0,5.3,0.0,37856000,0,0,0,4680100,10311000,17584000,0,5280500,0,33,1147100.0,0.0,0.0,0.0,141820.0,312450.0,532860.0,0.0,160010.0,0.0,0,0,0,0,7677600,6601200,0,0,0,0,0,0,1,4,2,0,1,0,8,,,,2130,7931;8014,True;True,8594;8686,43581;43582;43583;44017;44018;44019,48459;48460;48461;48462;48951;48952;48953;48954,48462;48954,,,,,,,-1;-1;-1,2,tr|A2ATL1|A2ATL1_MOUSE,none,141820.0,532860.0,160010.0,312450.0,0.0,0.0,286785.0,51.0
